bug#	Dev#	Effort	jdt	jface	core	swt	ui	debug	ltk	text	jdi	search	compare	other
113	29	438.32	4.38	83.28	61.36	61.36	87.66	74.51	30.68	4.38	4.38	13.15	0.00	4.38	
114	77	830.46	274.05	182.70	0.00	116.26	41.52	24.91	0.00	58.13	16.61	16.61	8.30	33.22	
115	75	548.56	246.85	82.28	16.46	60.34	21.94	54.86	0.00	21.94	21.94	10.97	0.00	0.00	
116	58	996.81	348.88	89.71	49.84	269.14	89.71	59.81	19.94	19.94	29.90	0.00	9.97	0.00	
117	56	40.92	0.00	14.73	2.86	13.91	3.68	0.00	1.23	0.00	1.64	0.41	0.82	0.41	
118	48	807.39	40.37	193.77	32.30	129.18	113.03	80.74	32.30	113.03	32.30	16.15	16.15	0.00	
119	58	708.18	141.64	262.03	14.16	84.98	28.33	56.65	28.33	7.08	14.16	28.33	21.25	0.00	
120	53	365.81	117.06	54.87	40.24	25.61	25.61	3.66	0.00	10.97	40.24	21.95	3.66	3.66	
121	26	760.50	288.99	258.57	76.05	22.82	7.61	0.00	0.00	15.21	15.21	15.21	30.42	22.82	
122	46	144.41	37.55	56.32	1.44	8.66	7.22	20.22	8.66	1.44	0.00	1.44	0.00	0.00	
123	24	172.55	69.02	37.96	18.98	17.25	1.73	6.90	3.45	1.73	10.35	3.45	0.00	0.00	
124	75	927.08	268.85	287.39	27.81	64.90	27.81	101.98	37.08	9.27	55.62	9.27	9.27	9.27	
125	3	952.03	495.06	180.89	66.64	19.04	76.16	57.12	28.56	19.04	0.00	0.00	0.00	9.52	
126	51	422.41	202.76	130.95	42.24	12.67	12.67	4.22	4.22	4.22	4.22	4.22	0.00	0.00	
127	4	808.78	218.37	242.64	88.97	16.18	16.18	24.26	16.18	24.26	24.26	24.26	32.35	32.35	
128	26	945.33	529.39	18.91	198.52	9.45	47.27	0.00	47.27	56.72	28.36	9.45	0.00	0.00	
129	34	449.59	152.86	8.99	22.48	71.94	44.96	26.98	40.46	17.98	13.49	26.98	4.50	4.50	
130	72	840.06	75.61	462.03	0.00	67.20	67.20	33.60	16.80	50.40	8.40	16.80	8.40	16.80	
131	28	978.17	567.34	9.78	39.13	68.47	146.73	19.56	29.35	9.78	9.78	48.91	0.00	19.56	
132	64	186.32	85.71	14.91	9.32	0.00	22.36	27.95	7.45	11.18	0.00	1.86	0.00	3.73	
133	72	637.90	376.36	76.55	63.79	31.90	6.38	25.52	0.00	25.52	12.76	6.38	0.00	6.38	
134	7	220.08	101.24	26.41	33.01	11.00	13.21	11.00	4.40	4.40	0.00	0.00	4.40	2.20	
135	74	567.22	62.39	90.75	147.48	11.34	22.69	56.72	5.67	17.02	39.71	28.36	11.34	5.67	
136	3	534.24	299.18	5.34	48.08	0.00	80.14	26.71	5.34	5.34	21.37	10.68	5.34	0.00	
137	22	933.54	270.73	214.71	102.69	9.34	130.70	74.68	18.67	9.34	18.67	28.01	0.00	9.34	
138	26	772.95	440.58	100.48	100.48	54.11	23.19	23.19	7.73	7.73	7.73	7.73	0.00	0.00	
139	72	35.36	18.74	2.83	6.36	1.41	1.41	1.41	1.06	0.35	0.71	0.00	0.71	0.00	
140	63	264.66	87.34	63.52	13.23	44.99	0.00	18.53	0.00	10.59	5.29	2.65	7.94	7.94	
141	60	896.80	331.81	143.49	152.46	98.65	44.84	62.78	8.97	17.94	26.90	0.00	8.97	0.00	
142	1	966.06	28.98	376.76	231.85	9.66	48.30	106.27	77.28	19.32	28.98	9.66	9.66	9.66	
143	3	882.19	44.11	176.44	264.66	167.62	141.15	35.29	17.64	8.82	8.82	8.82	0.00	8.82	
144	12	624.06	43.68	87.37	99.85	12.48	56.17	124.81	62.41	43.68	12.48	12.48	43.68	6.24	
145	61	707.55	233.49	148.59	198.11	21.23	7.08	14.15	21.23	28.30	7.08	21.23	7.08	0.00	
146	50	163.82	81.91	13.11	22.93	21.30	13.11	4.91	1.64	3.28	0.00	1.64	0.00	0.00	
147	1	371.77	174.73	44.61	22.31	66.92	22.31	11.15	3.72	11.15	7.44	0.00	0.00	0.00	
148	48	731.62	190.22	226.80	139.01	73.16	29.26	7.32	14.63	0.00	7.32	7.32	21.95	7.32	
149	49	345.13	6.90	117.34	113.89	24.16	37.96	0.00	10.35	13.81	13.81	0.00	3.45	3.45	
150	19	364.99	76.65	80.30	98.55	14.60	18.25	0.00	14.60	0.00	32.85	3.65	7.30	0.00	
151	37	379.75	140.51	64.56	18.99	22.78	0.00	37.97	34.18	11.39	7.59	15.19	3.80	15.19	
152	77	26.57	9.57	5.31	2.66	1.33	1.59	0.53	1.59	0.80	1.06	0.27	0.80	0.53	
153	54	512.33	66.60	20.49	138.33	122.96	30.74	10.25	46.11	15.37	20.49	5.12	10.25	10.25	
154	69	368.86	110.66	92.22	81.15	11.07	25.82	7.38	11.07	0.00	7.38	7.38	3.69	3.69	
155	0	851.27	297.95	127.69	161.74	25.54	68.10	17.03	59.59	0.00	8.51	34.05	8.51	8.51	
156	50	536.52	177.05	118.03	26.83	80.48	10.73	69.75	16.10	10.73	16.10	5.37	5.37	0.00	
157	0	137.57	50.90	13.76	9.63	11.01	15.13	4.13	11.01	12.38	2.75	2.75	2.75	1.38	
158	2	50.14	28.08	1.00	2.01	3.51	8.52	2.01	0.50	1.00	1.00	0.00	0.50	0.50	
159	52	573.35	68.80	177.74	80.27	11.47	11.47	97.47	28.67	28.67	11.47	17.20	22.93	11.47	
160	8	137.28	5.49	63.15	2.75	6.86	31.57	1.37	16.47	2.75	1.37	0.00	4.12	1.37	
161	34	177.10	69.07	40.73	12.40	31.88	8.86	7.08	0.00	3.54	1.77	0.00	1.77	0.00	
162	1	115.02	8.05	20.70	25.31	26.46	8.05	13.80	1.15	6.90	0.00	2.30	1.15	1.15	
163	43	774.89	271.21	185.97	38.74	23.25	15.50	31.00	46.49	61.99	23.25	23.25	7.75	15.50	
164	40	714.47	264.36	64.30	14.29	100.03	85.74	7.14	57.16	14.29	7.14	28.58	14.29	14.29	
165	1	420.34	84.07	58.85	84.07	42.03	4.20	79.86	8.41	37.83	0.00	8.41	4.20	4.20	
166	72	747.05	440.76	156.88	37.35	67.23	7.47	0.00	14.94	0.00	7.47	7.47	7.47	0.00	
167	48	471.11	98.93	75.38	155.47	32.98	23.56	28.27	18.84	18.84	4.71	4.71	4.71	4.71	
168	0	719.67	14.39	86.36	50.38	179.92	35.98	143.93	57.57	43.18	21.59	28.79	21.59	21.59	
169	1	76.80	16.90	23.04	3.84	0.77	6.14	9.98	1.54	7.68	0.77	1.54	3.07	0.77	
170	35	930.98	530.66	93.10	46.55	46.55	55.86	93.10	27.93	27.93	9.31	0.00	0.00	0.00	
171	52	465.94	237.63	23.30	27.96	41.93	55.91	46.59	9.32	4.66	13.98	4.66	0.00	0.00	
172	55	40.99	15.98	3.28	7.79	4.51	2.46	4.10	0.41	0.82	0.41	0.41	0.41	0.41	
173	25	92.01	10.12	16.56	10.12	16.56	14.72	6.44	7.36	6.44	0.00	1.84	0.92	0.00	
174	69	966.93	290.08	338.43	48.35	29.01	77.35	19.34	0.00	19.34	9.67	58.02	29.01	29.01	
175	56	516.81	180.88	67.19	87.86	46.51	51.68	36.18	0.00	5.17	0.00	10.34	15.50	5.17	
176	44	378.34	79.45	45.40	143.77	7.57	60.53	7.57	15.13	3.78	7.57	3.78	0.00	0.00	
177	7	402.45	209.28	36.22	64.39	16.10	44.27	16.10	12.07	0.00	4.02	0.00	0.00	0.00	
178	34	754.18	422.34	15.08	37.71	90.50	60.33	45.25	15.08	45.25	0.00	0.00	7.54	0.00	
179	33	351.12	49.16	56.18	101.82	87.78	28.09	3.51	14.04	7.02	0.00	0.00	0.00	0.00	
180	11	427.97	4.28	124.11	34.24	29.96	72.75	47.08	17.12	55.64	17.12	4.28	4.28	12.84	
181	24	695.92	215.73	34.80	0.00	34.80	132.22	125.26	55.67	62.63	13.92	6.96	6.96	6.96	
182	23	835.03	233.81	175.36	16.70	217.11	50.10	25.05	25.05	50.10	8.35	25.05	8.35	0.00	
183	56	1.43	0.44	0.23	0.24	0.27	0.06	0.07	0.00	0.01	0.03	0.00	0.03	0.01	
184	33	138.71	72.13	20.81	24.97	2.77	1.39	6.94	2.77	2.77	2.77	0.00	0.00	0.00	
185	62	694.17	340.14	20.83	48.59	55.53	34.71	118.01	13.88	41.65	6.94	0.00	0.00	0.00	
186	68	944.48	170.01	0.00	283.34	198.34	85.00	37.78	37.78	75.56	9.44	28.33	9.44	9.44	
187	41	299.17	71.80	47.87	77.78	14.96	50.86	8.98	14.96	2.99	0.00	2.99	2.99	0.00	
188	23	104.32	20.86	47.99	10.43	15.65	3.13	2.09	0.00	1.04	2.09	1.04	0.00	0.00	
189	52	518.40	51.84	145.15	165.89	62.21	46.66	25.92	5.18	5.18	5.18	0.00	5.18	0.00	
190	27	909.53	36.38	463.86	54.57	90.95	136.43	18.19	63.67	0.00	18.19	0.00	9.10	0.00	
191	75	331.89	99.57	136.07	53.10	26.55	3.32	6.64	3.32	3.32	0.00	0.00	0.00	0.00	
192	28	801.67	72.15	72.15	184.38	120.25	88.18	80.17	8.02	64.13	8.02	8.02	8.02	16.03	
193	25	335.80	120.89	20.15	33.58	50.37	6.72	23.51	43.65	16.79	3.36	6.72	6.72	3.36	
194	45	184.74	53.57	40.64	16.63	29.56	11.08	11.08	1.85	3.69	1.85	3.69	1.85	3.69	
195	3	228.93	109.89	34.34	6.87	16.02	13.74	6.87	6.87	13.74	6.87	4.58	0.00	2.29	
196	23	873.93	262.18	227.22	113.61	122.35	34.96	43.70	17.48	8.74	0.00	8.74	8.74	17.48	
197	13	217.21	0.00	112.95	39.10	0.00	15.20	2.17	15.20	17.38	8.69	0.00	2.17	2.17	
198	36	96.55	55.04	18.35	3.86	11.59	0.97	1.93	2.90	0.00	0.97	0.00	0.97	0.00	
199	73	793.82	198.45	238.15	7.94	23.81	55.57	55.57	31.75	103.20	23.81	15.88	23.81	7.94	
200	35	990.71	168.42	227.86	99.07	217.96	79.26	69.35	79.26	19.81	9.91	9.91	0.00	9.91	
201	64	960.56	220.93	28.82	413.04	134.48	19.21	38.42	19.21	28.82	38.42	0.00	9.61	9.61	
202	39	998.97	279.71	369.62	49.95	49.95	59.94	69.93	59.94	39.96	0.00	9.99	9.99	0.00	
203	71	248.40	32.29	47.20	17.39	27.32	67.07	29.81	4.97	4.97	4.97	0.00	2.48	0.00	
204	39	994.10	139.17	139.17	427.46	0.00	79.53	79.53	9.94	0.00	29.82	39.76	29.82	0.00	
205	18	554.22	138.56	55.42	149.64	11.08	11.08	27.71	5.54	55.42	33.25	16.63	33.25	11.08	
206	54	16.55	4.63	6.29	0.33	1.32	0.99	1.16	0.66	0.50	0.17	0.17	0.17	0.00	
207	19	694.95	62.55	382.22	111.19	13.90	48.65	13.90	41.70	0.00	0.00	0.00	6.95	0.00	
208	1	59.84	18.55	23.94	6.58	5.98	0.00	2.39	0.60	0.60	0.00	0.00	0.60	0.60	
209	9	966.83	357.73	106.35	222.37	67.68	38.67	67.68	48.34	19.34	9.67	9.67	0.00	9.67	
210	39	868.39	43.42	494.99	95.52	86.84	78.16	34.74	17.37	0.00	0.00	8.68	8.68	0.00	
211	77	836.69	418.35	92.04	58.57	92.04	66.94	66.94	8.37	8.37	8.37	8.37	0.00	0.00	
212	29	467.36	210.31	102.82	4.67	14.02	14.02	14.02	14.02	9.35	9.35	28.04	4.67	4.67	
213	15	56.58	21.50	6.79	9.05	1.70	9.62	2.26	1.13	0.00	0.57	1.13	1.13	0.00	
214	49	427.64	59.87	136.85	89.81	25.66	25.66	42.76	8.55	8.55	8.55	12.83	4.28	4.28	
215	68	25.90	8.81	0.52	1.04	1.55	6.99	0.78	3.63	1.04	1.04	0.26	0.00	0.26	
216	2	280.09	159.65	39.21	30.81	0.00	14.00	2.80	2.80	0.00	11.20	5.60	5.60	2.80	
217	63	593.34	142.40	249.20	94.93	41.53	17.80	5.93	5.93	5.93	11.87	11.87	5.93	0.00	
218	2	175.99	49.28	44.00	0.00	5.28	7.04	28.16	0.00	1.76	21.12	5.28	5.28	1.76	
219	46	830.36	215.89	141.16	182.68	33.21	116.25	16.61	41.52	16.61	16.61	33.21	8.30	0.00	
220	36	789.66	268.49	86.86	39.48	157.93	78.97	39.48	31.59	31.59	23.69	7.90	7.90	7.90	
221	43	680.70	224.63	142.95	68.07	47.65	6.81	88.49	6.81	34.04	6.81	27.23	13.61	6.81	
222	63	561.46	202.13	78.60	84.22	72.99	11.23	56.15	16.84	0.00	11.23	11.23	0.00	5.61	
223	48	25.12	11.55	8.29	0.75	2.01	0.75	0.25	0.25	0.75	0.25	0.25	0.00	0.00	
224	25	972.61	106.99	311.23	175.07	87.53	145.89	29.18	38.90	38.90	9.73	0.00	9.73	9.73	
225	51	252.95	68.30	5.06	10.12	35.41	60.71	15.18	17.71	5.06	10.12	0.00	10.12	5.06	
226	62	459.88	160.96	27.59	55.19	82.78	9.20	22.99	27.59	4.60	32.19	22.99	0.00	0.00	
227	53	226.03	81.37	29.38	42.95	6.78	4.52	24.86	18.08	6.78	2.26	0.00	4.52	2.26	
228	20	447.89	26.87	85.10	152.28	67.18	53.75	22.39	17.92	8.96	4.48	4.48	0.00	0.00	
229	18	803.20	425.70	56.22	32.13	104.42	64.26	56.22	8.03	24.10	24.10	8.03	0.00	0.00	
230	44	476.75	262.21	66.75	4.77	57.21	14.30	23.84	4.77	14.30	4.77	4.77	0.00	0.00	
231	67	284.59	5.69	110.99	22.77	37.00	39.84	5.69	11.38	2.85	8.54	8.54	8.54	2.85	
232	67	506.31	172.14	65.82	86.07	55.69	10.13	40.50	45.57	5.06	10.13	10.13	0.00	0.00	
233	69	74.30	17.83	2.97	12.63	15.60	2.97	11.89	0.74	3.71	3.71	0.00	0.74	0.74	
234	26	706.11	42.37	233.02	162.41	28.24	105.92	7.06	42.37	49.43	14.12	14.12	0.00	7.06	
235	29	61.01	27.45	10.98	7.32	4.88	0.61	0.61	3.05	1.22	2.44	0.61	1.22	0.61	
236	66	709.65	390.30	49.68	156.12	14.19	14.19	28.39	21.29	0.00	21.29	0.00	7.10	7.10	
237	55	112.97	66.65	25.98	3.39	5.65	4.52	0.00	0.00	0.00	2.26	1.13	0.00	1.13	
238	29	786.43	31.46	298.84	23.59	204.47	23.59	117.96	7.86	31.46	7.86	7.86	7.86	0.00	
239	23	283.16	161.40	28.32	19.82	11.33	22.65	11.33	16.99	8.49	2.83	0.00	0.00	0.00	
240	44	328.07	13.12	13.12	22.97	29.53	52.49	104.98	29.53	9.84	9.84	16.40	0.00	3.28	
241	72	850.39	212.60	85.04	212.60	59.53	85.04	68.03	17.01	25.51	0.00	17.01	0.00	17.01	
242	31	661.30	145.49	138.87	85.97	72.74	52.90	13.23	59.52	0.00	26.45	19.84	6.61	6.61	
